Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1931280,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1932218,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1933306,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1934121,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1935095,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1936072,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1937302,00000329,false,Rx,0,8,80,7D,80,0E,11,33,00,14,
1938144,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1941379,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1942131,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1943302,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1943396,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
1944301,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1945229,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1946144,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1947229,00000329,false,Rx,0,8,80,7D,80,0E,11,33,00,14,
1948141,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1951351,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1952224,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1953146,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1954139,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1955122,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1956246,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1957075,00000329,false,Rx,0,8,80,7D,80,0E,11,33,00,14,
1958097,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1961466,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1962323,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1963141,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1964076,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1965165,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1966091,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1967072,00000329,false,Rx,0,8,80,7D,80,0E,11,33,00,14,
1968096,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1971441,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1972271,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1973096,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1974086,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1975086,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1976238,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1977093,00000329,false,Rx,0,8,80,7D,80,0E,11,33,00,14,
1978077,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1981399,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1982129,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1983243,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1984094,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1985079,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1986097,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1987099,00000329,false,Rx,0,8,80,7D,80,0E,11,33,00,14,
1988229,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
1991123,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
1992100,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
1993098,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
1993473,000005F0,false,Rx,0,2,01,00,00,00,00,00,00,00,
1994373,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
1995136,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
1996068,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
1997241,00000329,false,Rx,0,8,E3,7D,80,0E,11,33,00,14,
1998099,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
2001465,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
2002315,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
2003142,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
2004083,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
2005106,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
2006243,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
2007228,00000329,false,Rx,0,8,E3,7D,80,0E,11,33,00,14,
2008108,00000545,false,Rx,0,8,EC,00,00,12,00,00,00,00,
2011441,00000316,false,Rx,0,8,05,04,00,00,04,2F,00,80,
2012379,000000A0,false,Rx,0,8,00,55,00,00,00,FF,01,00,
2013312,000000A1,false,Rx,0,8,80,80,00,00,EC,00,00,00,
2014132,0000018F,false,Rx,0,8,FA,FF,00,00,00,00,00,00,
2015247,00000260,false,Rx,0,8,04,03,1A,00,00,AB,69,00,
2016100,000002A0,false,Rx,0,8,00,00,04,00,78,05,0D,01,
2017106,00000329,false,Rx,0,8,E3,7D,80,0E,11,33,00,14,
