Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3928400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
3948400,00000514,false,Rx,0,8,00,08,78,00,CC,2A,45,80,
3968400,00000514,false,Rx,0,8,00,08,78,00,CC,2A,47,80,
3988400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,49,80,
4008400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4B,80,
4028400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
4048400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
4068500,00000514,false,Rx,0,8,00,08,78,00,4C,2B,41,80,
4088500,00000514,false,Rx,0,8,00,08,78,00,4C,2B,43,80,
4108399,00000514,false,Rx,0,8,00,08,78,00,0C,2B,45,80,
4128399,00000514,false,Rx,0,8,00,08,78,00,0C,2B,47,80,
4148399,00000514,false,Rx,0,8,00,08,78,00,0C,2B,49,80,
4168500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4B,80,
4188500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
4208500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
4228400,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
4248500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
4268500,00000514,false,Rx,0,8,00,08,78,00,CC,2A,45,80,
4288500,00000514,false,Rx,0,8,00,08,78,00,CC,2A,47,80,
4308500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,49,80,
4328500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4B,80,
4348500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
4368500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
4388500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
4408500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
4428500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,45,80,
4448500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,47,80,
4468500,00000514,false,Rx,0,8,00,08,78,00,CC,2A,49,80,
4488500,00000514,false,Rx,0,8,00,08,78,00,CC,2A,4B,80,
4508500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
4528500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
4548600,00000514,false,Rx,0,8,00,08,78,00,CC,2A,41,80,
4568500,00000514,false,Rx,0,8,00,08,78,00,CC,2A,43,80,
4588500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,45,80,
4608500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,47,80,
4628600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,49,80,
4648600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4B,80,
4668600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
4688500,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
4708600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
4728600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
4748600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,45,80,
4768600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,47,80,
4788600,00000514,false,Rx,0,8,00,08,78,00,CC,2A,49,80,
4808600,00000514,false,Rx,0,8,00,08,78,00,CC,2A,4B,80,
4828600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
4848600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
4868600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
4888600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
4908600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,45,80,
4928600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,47,80,
4948600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,49,80,
4968600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4B,80,
4988600,00000514,false,Rx,0,8,00,08,78,00,CC,2A,4D,80,
5008600,00000514,false,Rx,0,8,00,08,78,00,CC,2A,4F,80,
5028600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
5048600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
5068600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,45,80,
5088600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,47,80,
5108600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,49,80,
5128600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4B,80,
5148600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
5168600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
5188600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
5208600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
5228700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,45,80,
5248700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,47,80,
5268600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,49,80,
5288600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4B,80,
5308700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
5328700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
5348700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
5368600,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
5388700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,45,80,
5408700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,47,80,
5428700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,49,80,
5448700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4B,80,
5468900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
5488900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
5508700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
5528900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
5548900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,45,80,
5568700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,47,80,
5589000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,49,80,
5609000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4B,80,
5628700,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4D,80,
5648900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,4F,80,
5669000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,41,80,
5688900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,43,80,
5708900,00000514,false,Rx,0,8,00,08,78,00,CC,2A,45,80,
5729000,00000514,false,Rx,0,8,00,08,78,00,CC,2A,47,80,
5749000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,89,80,
5768900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8B,80,
5788900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8D,80,
5808900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8F,80,
5829000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,81,80,
5848900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,83,80,
5869000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,85,80,
5889000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,87,80,
5908900,00000514,false,Rx,0,8,00,08,78,00,CC,2A,89,80,
5929000,00000514,false,Rx,0,8,00,08,78,00,CC,2A,8B,80,
5948900,00000514,false,Rx,0,8,00,08,78,00,CC,2A,8D,80,
5968900,00000514,false,Rx,0,8,00,08,78,00,CC,2A,8F,80,
5989000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,81,80,
6008900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,83,80,
6028900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,85,80,
6048900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,87,80,
6068900,00000514,false,Rx,0,8,00,08,78,00,4C,2B,89,80,
6089000,00000514,false,Rx,0,8,00,08,78,00,4C,2B,8B,80,
6108900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8D,80,
6128900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8F,80,
6148900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,81,80,
6168900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,83,80,
6188900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,85,80,
6208900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,87,80,
6228900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,89,80,
6249000,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8B,80,
6268900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8D,80,
6288900,00000514,false,Rx,0,8,00,08,78,00,0C,2B,8F,80,
6308900,00000514,false,Rx,0,8,00,08,78,00,CC,2A,81,80,
6328900,00000514,false,Rx,0,8,00,08,78,00,CC,2A,83,80,
