Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
675800,00000412,false,Rx,0,8,00,51,01,51,01,10,01,00,
676100,00000601,false,Rx,0,8,00,D4,00,35,00,64,00,00,
685300,00000410,false,Rx,0,8,11,00,21,0C,00,E8,05,C1,
685500,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
685700,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
686000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
695300,00000410,false,Rx,0,8,11,00,21,0C,00,E8,05,C1,
695500,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
695800,00000412,false,Rx,0,8,00,52,01,52,01,10,01,00,
696000,00000600,false,Rx,0,8,00,DF,01,4C,D7,2A,38,00,
696200,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
705300,00000410,false,Rx,0,8,11,00,21,0C,00,DA,05,C1,
705500,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
705800,00000412,false,Rx,0,8,00,51,01,51,01,10,01,00,
706000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
715300,00000410,false,Rx,0,8,11,00,21,0C,00,DA,05,C1,
715500,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
715700,00000412,false,Rx,0,8,00,51,01,51,01,10,01,00,
716000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
725300,00000410,false,Rx,0,8,11,00,21,0C,00,E3,05,C1,
725500,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
725800,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
726000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
735300,00000410,false,Rx,0,8,11,00,21,0C,00,E3,05,C1,
735500,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
735800,00000412,false,Rx,0,8,00,53,01,53,01,10,01,00,
736000,00000601,false,Rx,0,8,00,D4,00,36,00,64,00,00,
745300,00000410,false,Rx,0,8,11,00,21,0C,00,DB,05,C1,
745500,00000411,false,Rx,0,8,01,31,00,00,01,00,00,3D,
